type;created_at;snapshot_id;status;parent;branch;depth;idea;benchmark_preset;native_avg;native_p50;timsort_avg;timsort_p50;delta_vs_immediate_parent_overall_score_p50;display_preset_improvement_vs_native_avg;preset_score_p50;display_preset_improvement_vs_native_p50;anchor_id;anchor_score_p50;delta_vs_anchor_score_p50;suite_presets;primary_metric;benchmark_flow;order_mode;ab_testing;warmup_enabled;warmup_runs_per_combination;preset_quick_score_p50;anchor_preset_quick_score_p50;delta_vs_anchor_preset_quick_score_p50;preset_medium_score_p50;anchor_preset_medium_score_p50;delta_vs_anchor_preset_medium_score_p50;preset_balanced_score_p50;anchor_preset_balanced_score_p50;delta_vs_anchor_preset_balanced_score_p50;passed;failed;total_ms;threshold;tests_failed;anchor_preset_score_p50;current_preset_score_p50;delta_vs_anchor_preset_score_p50;benchmark_step_total;iteration_total;suite_benchmark_current_total;suite_benchmark_parent_total;suite_benchmark_combined_total;overall_score_p50;anchor_overall_score_p50;delta_vs_anchor_overall_score_p50;anchor_improvement_vs_native_overall_p50;improvement_vs_native_overall_p50;reason;anchor;syntax_message
snapshot;2026-03-23T11:11:07.349Z;0001;loser;0000;B01;1;B01: index-projection sort path for object rows (sort indices then materialize);medium;64,483 ms;67,966 ms;66,189 ms;66,041 ms;n/a;-2,645%;1,050192;-5,019%;0000;0,945915;-11,758%;quick,medium,balanced;overall_geomean_score_p50;shared_preset_session_native_anchor_candidate;alternate;off;on;1;1,021552;0,900109;-13,492%;1,050192;0,971403;-8,111%;1,101186;0,967971;-13,762%;7/7;0;421,337 ms;1,00%;0;0,971403;1,050192;-8,111%;85175,000 ms (85,175 s);85605,000 ms (85,605 s);20582,925 ms (20,583 s);18717,601 ms (18,718 s);58593,933 ms (58,594 s);1,057134;0,945915;-11,758%;5,408%;-5,713%;;;
snapshot;2026-03-23T11:13:16.611Z;0002;loser;0001;B01;2;B01 depth2: gate index-projection path to very large arrays only (min length 200k);medium;63,468 ms;65,340 ms;60,631 ms;60,188 ms;7,521%;4,470%;0,970434;2,957%;0000;0,968736;-0,918%;quick,medium,balanced;overall_geomean_score_p50;shared_preset_session_native_anchor_candidate;alternate;off;on;1;0,970177;0,951001;-2,016%;0,970434;0,972796;0,243%;0,992430;0,982682;-0,992%;7/7;0;397,226 ms;1,00%;0;0,972796;0,970434;0,243%;82394,000 ms (82,394 s);82801,000 ms (82,801 s);18642,637 ms (18,643 s);18726,943 ms (18,727 s);56530,990 ms (56,531 s);0,977625;0,968736;-0,918%;3,126%;2,237%;;;
snapshot;2026-03-23T11:14:59.899Z;0003;loser;0002;B01;3;B01 depth3: enable index-projection from 80k rows (targets balanced tier);medium;63,603 ms;62,906 ms;62,501 ms;62,718 ms;-4,806%;1,731%;0,981777;1,822%;0000;0,975402;-5,045%;quick,medium,balanced;overall_geomean_score_p50;shared_preset_session_native_anchor_candidate;alternate;off;on;1;0,977346;0,951976;-2,665%;0,981777;0,989711;0,802%;1,121010;0,984954;-13,813%;7/7;0;396,234 ms;1,00%;0;0,989711;0,981777;0,802%;85812,000 ms (85,812 s);86216,000 ms (86,216 s);20508,052 ms (20,508 s);19023,366 ms (19,023 s);58771,883 ms (58,772 s);1,024606;0,975402;-5,045%;2,460%;-2,461%;;;
snapshot;2026-03-23T11:16:42.225Z;0004;loser;0003;B01;4;B01 depth4: raise index-projection gate to 120k to avoid balanced-path overhead;medium;65,693 ms;69,152 ms;62,042 ms;61,669 ms;6,189%;5,558%;0,986497;1,350%;0000;0,973163;1,230%;quick,medium,balanced;overall_geomean_score_p50;shared_preset_session_native_anchor_candidate;alternate;off;on;1;0,917236;0,962972;4,749%;0,986497;0,986094;-0,041%;0,981416;0,970564;-1,118%;7/7;0;404,916 ms;1,00%;0;0,986094;0,986497;-0,041%;84084,000 ms (84,084 s);84498,000 ms (84,498 s);18862,772 ms (18,863 s);18838,233 ms (18,838 s);57330,661 ms (57,331 s);0,961192;0,973163;1,230%;2,684%;3,881%;;;
snapshot;2026-03-23T11:19:39.086Z;0005;loser;0004;B01;5;B01 depth5: disable index-projection path after guarded threshold sweeps;medium;64,348 ms;62,697 ms;61,816 ms;65,661 ms;-0,697%;3,934%;0,971383;2,862%;0000;0,963285;-0,479%;quick,medium,balanced;overall_geomean_score_p50;shared_preset_session_native_anchor_candidate;alternate;off;on;1;0,956818;0,947844;-0,947%;0,971383;0,956414;-1,565%;0,975584;0,986011;1,058%;7/7;0;407,454 ms;1,00%;0;0,956414;0,971383;-1,565%;84522,000 ms (84,522 s);84939,000 ms (84,939 s);18910,468 ms (18,910 s);19156,000 ms (19,156 s);57751,130 ms (57,751 s);0,967895;0,963285;-0,479%;3,672%;3,211%;;;
snapshot;2026-03-23T11:22:02.894Z;0006;loser;0000;B02;1;B02 depth1: increase DEFAULT_TMP_STORAGE_LENGTH 256->1024 for larger merge scratch;medium;64,981 ms;64,529 ms;62,405 ms;62,172 ms;n/a;3,965%;0,929157;7,084%;0000;0,957518;0,022%;quick,medium,balanced;overall_geomean_score_p50;shared_preset_session_native_anchor_candidate;alternate;off;on;1;0,948340;0,935180;-1,407%;0,929157;0,943081;1,476%;0,995625;0,995399;-0,023%;7/7;0;417,584 ms;1,00%;0;0,943081;0,929157;1,476%;83616,000 ms (83,616 s);84044,000 ms (84,044 s);18912,309 ms (18,912 s);18923,542 ms (18,924 s);57280,404 ms (57,280 s);0,957304;0,957518;0,022%;4,248%;4,270%;;;
snapshot;2026-03-23T11:23:43.654Z;0007;loser;0006;B02;2;B02 depth2: combine tmp1024 with DEFAULT_MIN_MERGE 40->32;medium;65,576 ms;68,987 ms;61,769 ms;62,087 ms;-0,813%;5,805%;0,962028;3,797%;0000;0,973421;0,856%;quick,medium,balanced;overall_geomean_score_p50;shared_preset_session_native_anchor_candidate;alternate;off;on;1;0,941936;0,946043;0,434%;0,962028;0,978332;1,667%;0,991963;0,996563;0,462%;7/7;0;360,214 ms;1,00%;0;0,978332;0,962028;1,667%;84927,000 ms (84,927 s);85297,000 ms (85,297 s);19126,209 ms (19,126 s);19268,830 ms (19,269 s);58328,558 ms (58,329 s);0,965091;0,973421;0,856%;2,658%;3,491%;;;
snapshot;2026-03-23T11:25:22.951Z;0008;loser;0007;B02;3;B02 depth3: with tmp1024+minMerge32, lower DEFAULT_MIN_GALLOPING 8->7;medium;63,812 ms;64,932 ms;63,323 ms;62,912 ms;-1,427%;0,766%;0,982337;1,766%;0000;0,958033;-2,174%;quick,medium,balanced;overall_geomean_score_p50;shared_preset_session_native_anchor_candidate;alternate;off;on;1;0,952487;0,898318;-6,030%;0,982337;0,977288;-0,517%;1,002406;1,001587;-0,082%;7/7;0;390,773 ms;1,00%;0;0,977288;0,982337;-0,517%;84638,000 ms (84,638 s);85037,000 ms (85,037 s);19279,555 ms (19,280 s);19167,317 ms (19,167 s);58099,209 ms (58,099 s);0,978861;0,958033;-2,174%;4,197%;2,114%;;;
snapshot;2026-03-23T11:27:16.349Z;0009;loser;0008;B02;4;B02 depth4: revert minGalloping 7->8 and raise BULK_COPY_THRESHOLD 512->768;medium;65,644 ms;67,737 ms;62,817 ms;62,679 ms;1,509%;4,306%;0,957728;4,227%;0000;0,968307;0,435%;quick,medium,balanced;overall_geomean_score_p50;shared_preset_session_native_anchor_candidate;alternate;off;on;1;0,978862;0,998396;1,957%;0,957728;0,939388;-1,952%;0,955850;0,968035;1,259%;7/7;0;396,062 ms;1,00%;0;0,939388;0,957728;-1,952%;84545,000 ms (84,545 s);84949,000 ms (84,949 s);19106,304 ms (19,106 s);19112,839 ms (19,113 s);57984,334 ms (57,984 s);0,964091;0,968307;0,435%;3,169%;3,591%;;;
snapshot;2026-03-23T11:29:03.480Z;0010;loser;0009;B02;5;B02 depth5: keep tmp1024+threshold768 but restore DEFAULT_MIN_MERGE 32->40;medium;64,407 ms;63,088 ms;62,529 ms;62,033 ms;-0,722%;2,916%;0,971303;2,870%;0000;0,979713;0,884%;quick,medium,balanced;overall_geomean_score_p50;shared_preset_session_native_anchor_candidate;alternate;off;on;1;0,959488;0,957100;-0,249%;0,971303;0,993056;2,191%;0,982502;0,989385;0,696%;7/7;0;380,941 ms;1,00%;0;0,993056;0,971303;2,191%;84832,000 ms (84,832 s);85224,000 ms (85,224 s);19247,733 ms (19,248 s);19288,159 ms (19,288 s);58158,972 ms (58,159 s);0,971052;0,979713;0,884%;2,029%;2,895%;;;
