type;created_at;snapshot_id;status;parent;branch;depth;idea;benchmark_preset;native_avg;native_p50;timsort_avg;timsort_p50;delta_vs_immediate_parent_overall_score_p50;display_preset_improvement_vs_native_avg;preset_score_p50;display_preset_improvement_vs_native_p50;anchor_id;anchor_score_p50;delta_vs_anchor_score_p50;suite_presets;primary_metric;preset_quick_score_p50;anchor_preset_quick_score_p50;delta_vs_anchor_preset_quick_score_p50;preset_medium_score_p50;anchor_preset_medium_score_p50;delta_vs_anchor_preset_medium_score_p50;preset_balanced_score_p50;anchor_preset_balanced_score_p50;delta_vs_anchor_preset_balanced_score_p50;passed;failed;total_ms;threshold;tests_failed;anchor_preset_score_p50;current_preset_score_p50;delta_vs_anchor_preset_score_p50;benchmark_step_total;iteration_total;suite_benchmark_current_total;suite_benchmark_parent_total;suite_benchmark_combined_total;overall_score_p50;anchor_overall_score_p50;delta_vs_anchor_overall_score_p50;anchor_improvement_vs_native_overall_p50;improvement_vs_native_overall_p50
snapshot;2026-03-21T14:29:06.021Z;0001;loser;0000;B01;1;implementation: pointer-loop copyFromBuffer with switch tail;medium;57,411 ms;54,516 ms;58,819 ms;59,221 ms;n/a;-2,453%;1,024570;-2,457%;0000;1,035810;-1,014%;quick,medium,balanced;overall_geomean_score_p50;1,088304;1,067316;-1,966%;1,024570;1,017111;-0,733%;1,027301;1,023715;-0,350%;7/7;0;269,061 ms;1,00%;0;1,017111;1,024570;-0,733%;77289,000 ms (77,289 s);77568,000 ms (77,568 s);38720,013 ms (38,720 s);37962,195 ms (37,962 s);76682,207 ms (76,682 s);1,046317;1,035810;-1,014%;-3,581%;-4,632%
snapshot;2026-03-21T14:30:56.251Z;0002;loser;0001;B01;2;"implementation: revert copyFromBuffer loop; lower copyWithin threshold 32->16";medium;56,128 ms;55,865 ms;62,679 ms;60,964 ms;-7,758%;-11,672%;1,138738;-13,874%;0000;1,027934;-9,685%;quick,medium,balanced;overall_geomean_score_p50;1,101454;1,048079;-5,093%;1,138738;0,993125;-14,662%;1,142728;1,043512;-9,508%;7/7;0;302,321 ms;1,00%;0;0,993125;1,138738;-14,662%;78328,000 ms (78,328 s);78638,000 ms (78,638 s);39855,723 ms (39,856 s);37900,095 ms (37,900 s);77755,818 ms (77,756 s);1,127486;1,027934;-9,685%;-2,793%;-12,749%
snapshot;2026-03-21T14:32:28.842Z;0003;loser;0002;B01;3;"implementation: restore threshold32; lower minGalloping 7->6";medium;57,231 ms;60,402 ms;55,661 ms;49,973 ms;7,229%;2,743%;0,985693;1,431%;0000;0,988479;-5,818%;quick,medium,balanced;overall_geomean_score_p50;1,111503;1,010971;-9,944%;0,985693;0,992043;0,640%;1,044534;0,963015;-8,465%;7/7;0;269,274 ms;1,00%;0;0,992043;0,985693;0,640%;76007,000 ms (76,007 s);76284,000 ms (76,284 s);37876,448 ms (37,876 s);37478,149 ms (37,478 s);75354,597 ms (75,355 s);1,045984;0,988479;-5,818%;1,152%;-4,598%
snapshot;2026-03-21T14:34:01.766Z;0004;loser;0003;B01;4;implementation: raise minGalloping 6->8 to stabilize presets;medium;58,033 ms;51,162 ms;55,423 ms;53,252 ms;4,573%;4,497%;0,984209;1,579%;0000;0,985945;-1,238%;quick,medium,balanced;overall_geomean_score_p50;1,037620;1,023050;-1,424%;0,984209;0,968826;-1,588%;0,973774;0,966974;-0,703%;7/7;0;303,193 ms;1,00%;0;0,968826;0,984209;-1,588%;75024,000 ms (75,024 s);75337,000 ms (75,337 s);37160,934 ms (37,161 s);37290,335 ms (37,290 s);74451,269 ms (74,451 s);0,998147;0,985945;-1,238%;1,406%;0,185%
snapshot;2026-03-21T14:35:37.235Z;0005;loser;0004;B01;5;implementation: combine case4 shift + threshold24;medium;57,235 ms;54,885 ms;54,936 ms;49,362 ms;-1,017%;4,018%;0,998619;0,138%;0000;1,019348;1,084%;quick,medium,balanced;overall_geomean_score_p50;0,965888;1,042376;7,338%;0,998619;1,005724;0,706%;1,062780;1,010331;-5,191%;7/7;0;325,676 ms;1,00%;0;1,005724;0,998619;0,706%;77020,000 ms (77,020 s);77354,000 ms (77,354 s);38030,252 ms (38,030 s);38392,210 ms (38,392 s);76422,462 ms (76,422 s);1,008301;1,019348;1,084%;-1,935%;-0,830%
snapshot;2026-03-21T14:37:15.116Z;0006;loser;0000;B02;1;implementation: root branch test case4 shift + threshold24;medium;56,716 ms;54,223 ms;56,090 ms;50,290 ms;n/a;1,103%;1,016020;-1,602%;0000;1,003206;-3,414%;quick,medium,balanced;overall_geomean_score_p50;1,069170;1,007933;-6,075%;1,016020;1,003541;-1,244%;1,027926;0,998167;-2,981%;7/7;0;291,554 ms;1,00%;0;1,003541;1,016020;-1,244%;76804,000 ms (76,804 s);77104,000 ms (77,104 s);38193,474 ms (38,193 s);38023,816 ms (38,024 s);76217,291 ms (76,217 s);1,037458;1,003206;-3,414%;-0,321%;-3,746%
snapshot;2026-03-21T14:39:08.764Z;0007;loser;0006;B02;2;implementation: raise initial tmp storage 256->1024;medium;53,129 ms;49,574 ms;53,708 ms;50,206 ms;-4,957%;-1,091%;1,021059;-2,106%;0000;1,041938;-4,506%;quick,medium,balanced;overall_geomean_score_p50;1,065867;1,105677;3,601%;1,021059;1,003496;-1,750%;1,186289;1,019486;-16,361%;7/7;0;281,323 ms;1,00%;0;1,003496;1,021059;-1,750%;94447,000 ms (94,447 s);94736,000 ms (94,736 s);43784,735 ms (43,785 s);49990,956 ms (49,991 s);93775,691 ms (93,776 s);1,088884;1,041938;-4,506%;-4,194%;-8,888%
snapshot;2026-03-21T14:40:57.852Z;0008;loser;0007;B02;3;implementation: keep tmp1024 + case4, revert threshold24->32;medium;74,127 ms;74,207 ms;73,088 ms;71,636 ms;1,427%;1,402%;0,953491;4,651%;0000;1,045439;-2,669%;quick,medium,balanced;overall_geomean_score_p50;1,330749;1,053401;-26,329%;0,953491;1,168164;18,377%;0,974557;0,928536;-4,956%;7/7;0;334,260 ms;1,00%;0;1,168164;0,953491;18,377%;95150,000 ms (95,150 s);95494,000 ms (95,494 s);50593,739 ms (50,594 s);43841,178 ms (43,841 s);94434,917 ms (94,435 s);1,073347;1,045439;-2,669%;-4,544%;-7,335%
snapshot;2026-03-21T14:42:34.728Z;0009;loser;0008;B02;4;implementation: revert tmp storage 1024->256 (keep case4 + threshold32);medium;58,388 ms;55,771 ms;57,976 ms;58,291 ms;3,519%;0,704%;0,999175;0,083%;0000;1,023179;-1,212%;quick,medium,balanced;overall_geomean_score_p50;1,082667;1,052912;-2,826%;0,999175;0,998075;-0,110%;1,026628;1,019293;-0,720%;7/7;0;293,346 ms;1,00%;0;0,998075;0,999175;-0,110%;79177,000 ms (79,177 s);79480,000 ms (79,480 s);39303,894 ms (39,304 s);39261,781 ms (39,262 s);78565,675 ms (78,566 s);1,035579;1,023179;-1,212%;-2,318%;-3,558%
snapshot;2026-03-21T14:44:15.241Z;0010;loser;0009;B02;5;implementation: raise minGalloping 7->9 with case4+threshold32;medium;58,926 ms;57,844 ms;57,502 ms;53,147 ms;0,894%;2,417%;0,991923;0,808%;0000;1,002766;-2,349%;quick,medium,balanced;overall_geomean_score_p50;1,061939;1,030434;-3,057%;0,991923;0,972701;-1,976%;1,026280;1,006003;-2,016%;7/7;0;276,554 ms;1,00%;0;0,972701;0,991923;-1,976%;79149,000 ms (79,149 s);79435,000 ms (79,435 s);39197,447 ms (39,197 s);39336,667 ms (39,337 s);78534,114 ms (78,534 s);1,026316;1,002766;-2,349%;-0,277%;-2,632%
